Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000215014,AL645728.1,0.05197564224623619,1.30568248313174,0.001264681757763242,0.020471111959992513,-1.30568248313174,0.001264681757763242
ENSG00000228594,FNDC10,0.02155671798230994,-1.3470246242252504,0.0000954710104287867,0.054809751376754146,1.3470246242252504,0.0000954710104287867
ENSG00000286989,AL691432.4,0.0026347099756156593,-1.5779790590651226,0.08506987574286926,0.007924301403868069,1.5779790590651226,0.08506987574286926
ENSG00000272106,AL691432.2,0.028502771554387588,-0.3885012602014095,0.4988683055331423,0.03698007321805099,0.3885012602014095,0.4988683055331423
ENSG00000197530,MIB2,0.21868092797609973,1.4909054640510422,0.000004777043799541128,0.07726193868771368,-1.4909054640510422,0.000004777043799541128
ENSG00000189409,MMP23B,0.07281380296246913,3.205201090083906,0.0000000000014729993992983955,0.00726394295354573,-3.205201090083906,0.0000000000014729993992983955
ENSG00000248333,CDK11B,0.6371207759216049,0.0023616171470719483,1,0.6359251876604126,-0.0023616171470719483,1
ENSG00000272004,FO704657.1,0.00359278633038499,-0.26985676370279066,1,0.0039621507019340346,0.26985676370279066,1
ENSG00000189339,SLC35E2B,0.17676508745494152,0.6575377763632626,0.0527476243691555,0.11160057810447531,-0.6575377763632626,0.0527476243691555
ENSG00000008128,CDK11A,0.6057437753029093,0.04313820641456423,1,0.5877190207868818,-0.04313820641456423,1
ENSG00000215790,SLC35E2A,0.14778327772316927,0.6592140667545063,0.058903960487820366,0.09311054149544981,-0.6592140667545063,0.058903960487820366
ENSG00000008130,NADK,0.11233445259670402,-2.7609105775808653,0.00000000000000000000000000000029972442809346466,0.7627140101223017,2.7609105775808653,0.00000000000000000000000000000029972442809346466
ENSG00000078369,GNB1,1.568131473668702,-1.2565762614459102,0.00000015705877538965962,3.7481945640295966,1.2565762614459102,0.00000015705877538965962
ENSG00000231050,AL109917.1,0.0026347099756156593,2.122460659075969,0.12697926397046402,0,-2.122460659075969,0.12697926397046402
ENSG00000169885,CALML6,0.000718557266076998,0.5374981583548131,0.7941788770712375,0,-0.5374981583548131,0.7941788770712375
ENSG00000178821,TMEM52,0,-3.462501841645187,0.057793120180570506,0.0019810753509670173,3.462501841645187,0.057793120180570506
ENSG00000142609,CFAP74,0.0016766336208463286,-0.46250184164518693,0.9324375775954922,0.0019810753509670173,0.46250184164518693,0.9324375775954922
ENSG00000187730,GABRD,0.0011975954434616633,1.1224606590759691,1,0,-1.1224606590759691,1
ENSG00000067606,PRKCZ,0.1063464753793957,2.2058766672636074,0.000000005563395276355149,0.02245218731095953,-2.2058766672636074,0.000000005563395276355149
ENSG00000271806,AL590822.2,0.0038323054190773226,0.3030329047177913,0.8450471496791282,0.0026414338012893564,-0.3030329047177913,0.8450471496791282
ENSG00000182873,PRKCZ-AS1,0.0038323054190773226,1.624960999605153,0.16180216588285246,0.0006603584503223391,-1.624960999605153,0.16180216588285246
ENSG00000162585,FAAP20,0.35376969399857533,-0.0018495654844481457,1,0.35395212937277376,0.0018495654844481457,1
ENSG00000234396,AL590822.1,0.005508939039923651,1.12246065907597,0.2952549680982598,0.0019810753509670173,-1.12246065907597,0.2952549680982598
ENSG00000157933,SKI,0.28766242551949156,-0.18547697132087615,0.6542322286466029,0.32687743290955784,0.18547697132087615,0.6542322286466029
ENSG00000116151,MORN1,0.04263439778723521,0.8513889341767582,0.05206570439345956,0.02311254576128187,-0.8513889341767582,0.05206570439345956
ENSG00000272420,AL513477.2,0.0019161527095386613,-1.462501841645187,0.1358809712938924,0.005282867602578713,1.462501841645187,0.1358809712938924
ENSG00000157916,RER1,0.36478757207842266,-0.24420575057667704,0.49147082024429484,0.43187442651080976,0.24420575057667704,0.49147082024429484
ENSG00000157911,PEX10,0.12454992612001299,0.6678199573253782,0.060033831443096736,0.07792229713803601,-0.6678199573253782,0.060033831443096736
ENSG00000149527,PLCH2,0.018203450740617282,3.804284699049715,0.000046273073910596965,0.0006603584503223391,-3.804284699049715,0.000046273073910596965
ENSG00000224387,AL139246.1,0,-2.462501841645187,0.4684240072888307,0.0006603584503223391,2.462501841645187,0.4684240072888307
ENSG00000157881,PANK4,0.02778421428831059,-0.23599331183650651,0.7024621312564173,0.03235756406579462,0.23599331183650651,0.7024621312564173
ENSG00000197921,HES5,0.00023951908869233266,-0.46250184164518693,1,0,0.46250184164518693,1
ENSG00000272449,AL139246.5,0.1312564606033983,-0.09654912286582595,0.8749426154041067,0.13999599146833588,0.09654912286582595,0.8749426154041067
ENSG00000238164,TNFRSF14-AS1,0.04479006958546621,1.5071245093112946,0.015834423516887807,0.0151882443574138,-1.5071245093112946,0.015834423516887807
ENSG00000157873,TNFRSF14,0.5070619107616683,0.15972027764505226,0.7941788770712375,0.45366625537144695,-0.15972027764505226,0.7941788770712375
ENSG00000228037,AL139246.3,0.00982028263638564,2.3448530804124177,0.13158713977124809,0.0013207169006446782,-2.3448530804124177,0.13158713977124809
ENSG00000157870,PRXL2B,0.027544695199618257,-0.18948334723877025,0.8247564609752145,0.031036847165149938,0.18948334723877025,0.8247564609752145
ENSG00000142606,MMEL1,0.005508939039923651,-1.7844299365325487,0.0004644446182390994,0.019150395059347833,1.7844299365325487,0.0004644446182390994
