Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,3.8285410827076407,2.245971450279761,0.00000000021707284529739903,0.8068760186218271,-2.245971450279761,0.0000000002170728452974206
ENSMUSG00000089699,Gm1992,0.22972278378486316,1.7563781606250286,0.000004754813650397927,0.06730413578149469,-1.7563781606250286,0.000004754813650397927
ENSMUSG00000102331,Gm19938,0.23449523914704168,2.1161749684469235,0.00000005749201393416728,0.05337914217153027,-2.1161749684469235,0.00000005749201393416728
ENSMUSG00000102343,Gm37381,0.0003869558401766364,-0.5834718422595948,1,0,0.5834718422595948,1
ENSMUSG00000025900,Rp1,0.003353617281530849,-0.9985093415384396,0.3851496780323199,0.006188886048873074,0.9985093415384396,0.3851496780323199
ENSMUSG00000025902,Sox17,0,-6.670934683509935,0.00000010582508712061946,0.012377772097746148,6.670934683509935,0.00000010582508712061946
ENSMUSG00000104238,Gm37587,0,-4.168434342980753,0.08922152761418806,0.0015472215122182686,4.168434342980753,0.08922152761418806
ENSMUSG00000033845,Mrpl15,0.09622301892392358,-0.25767592993252064,0.5473883165666593,0.11449439190415188,0.25767592993252064,0.5473883165666593
ENSMUSG00000025903,Lypla1,0.11363603173187223,-0.6380407847990202,0.05818337938548916,0.17638325239288263,0.6380407847990202,0.05818337938548916
ENSMUSG00000033813,Tcea1,0.35019503535985597,0.035893362593703904,1,0.3411623434441282,-0.035893362593703904,1
ENSMUSG00000002459,Rgs20,0.6266104905260332,-1.2499174613722723,0.000007138627523061847,1.4907479270223019,1.2499174613722723,0.000007138627523062545
ENSMUSG00000085623,Gm16041,0.003998543681825243,-1.5834718422595966,0.01808212949746885,0.011604161341637014,1.5834718422595966,0.01808212949746885
ENSMUSG00000033793,Atp6v1h,0.5082020034319825,0.8139797319906006,0.03334580786506489,0.2885568120287071,-0.8139797319906006,0.03334580786506489
ENSMUSG00000025905,Oprk1,0.10396213572745631,2.166062425409665,0.0000006130585587243444,0.022434711927164893,-2.166062425409665,0.0000006130585587243444
ENSMUSG00000033774,Npbwr1,0.0006449264002943941,-0.9985093415384405,0.7889769790048132,0.0007736107561091343,0.9985093415384405,0.7889769790048132
ENSMUSG00000025907,Rb1cc1,0.6851698076727643,0.38882713163847704,0.4135491130353512,0.5229608711297747,-0.38882713163847704,0.4135491130353512
ENSMUSG00000090031,4732440D04Rik,0.10576792964828062,-0.12140195094395301,0.8319182383460263,0.11449439190415188,0.12140195094395301,0.8319182383460263
ENSMUSG00000087247,Alkal1,0.0030956467214130912,1.0603843475151287,0.4606214232640263,0.0007736107561091343,-1.0603843475151287,0.4606214232640263
